date,content,reaction_count,top_react,comment_count,title,day_diff
02/02,"['MANG PEPSI VỀ NHÀ, TIỆC TẾT BAO ĐÃ🍻', '💙Mỗi dịp Tết đến là gia đình, bạn bè lại cùng nhau quây quần bên bàn tiệc rôm rả chuyện trò về một năm đã qua, đón chào năm mới với nhiều hứa hẹn. Những khoảnh khắc đông vui này làm sao thể thiếu những lon Pepsi vàng.', 'Những lon Pepsi với hình ảnh Lân Vàng bắt...']",517,"['Like', 'Heart', 'Angry']",12,"MANG PEPSI VỀ NHÀ, TIỆC TẾT BAO ĐÃ🍻",
05/02,"['NHỮNG CHUYẾN XE ĐẦU TIÊN - SẴN SÀNG CHỞ TẾT VỀ NHÀ', 'Tết đã cận kề, lại thêm nhiều hơn nữa những cuộc đoàn viên với mong ước sum vầy được thực hiện hóa trên hành trình ý nghĩa “Mang Tết Về Nhà”. Những túi quà đã được xếp gọn, những chiếc xe đã được đổ đầy xăng để sẵn sàng lăn bánh mang hàng trăm người...']",78,"['Like', 'Heart']",3,NHỮNG CHUYẾN XE ĐẦU TIÊN - SẴN SÀNG CHỞ TẾT VỀ NHÀ,3.0
05/02,"['THÁP LỄ PEPSI VÀNG, TRAO NGÀN TÀI LỘC', '💛Nếu màu vàng tượng trưng cho tài lộc ngút ngàn, thì tháp lễ Pepsi vàng chính là món quà ý nghĩa thay cho lời chúc trao nhau trong những ngày đầu năm.', 'Với hai phiên bản lon Pepsi xanh và vàng với hình ảnh Lân Vàng rực rỡ, đan xen cạnh muôn sắc hoa quả cùng vô...']",2926,"['Like', 'Heart']",64,"THÁP LỄ PEPSI VÀNG, TRAO NGÀN TÀI LỘC",0.0
07/02,"['LỄ TIỄN MANG TẾT VỀ NHÀ 2024TIẾP NỐI SỨ MỆNH TẾT ĐOÀN VIÊN', '🎉Chuyến hành trình “Mang Tết Về Nhà” 2024 đã khởi hành thành công, trao tay hàng ngàn tấm vé đong đầy yêu thương đến với những người con xa xứ. Một chặng đường đầy cảm xúc với những nụ cười rạng rỡ, những giọt nước mắt hạnh phúc và vô vàn...']",108,"['Like', 'Heart']",6,LỄ TIỄN MANG TẾT VỀ NHÀ 2024TIẾP NỐI SỨ MỆNH TẾT ĐOÀN VIÊN,2.0
27/02,"['COMING SOON...', 'SẮP RA MẮT...']",2578,"['Like', 'Heart']",85,COMING SOON...,20.0
28/02,[],364,"['Like', 'Heart', 'Wow']",5,,1.0
06/03,"['ĐẠI SỰ KIỆN PEPSI - THIRSTY FOR MOREĐÃ CƠN KHÁT, THOẢ ĐAM MÊ', '🔥Chính thức ra mắt sự kiện PEPSI - THIRSTY FOR MORE, đánh dấu hành trình 30 năm của Pepsi tại Việt Nam và mở ra kỷ nguyên mới!', 'Hãy cùng Pepsi trải nghiệm những màn trình diễn bắt mắt nhất như một món quà tri ân dành cho fan hâm mộ Pepsi...']",1049,"['Like', 'Heart']",78,"ĐẠI SỰ KIỆN PEPSI - THIRSTY FOR MOREĐÃ CƠN KHÁT, THOẢ ĐAM MÊ",6.0
12/03,"['ĐÃ CƠN KHÁT CHÁY BỎNG VỚI TÓC TIÊN TẠI ĐẠI SỰ KIỆN PEPSI!', 'Một nhân tố làm nên lịch sử của Pepsi đã chính thức tái ngộ trong Đại nhạc hội Pepsi - Thirsty For More!Chị đẹp TÓC TIÊN chắc chắn sẽ cháy hết mình cùng với các Pepsi fan, hãy sẵn sàng cho đêm diễn cuồng nhiệt 23.03 này!', '🙌Danh sách nghệ sĩ...']",360,"['Like', 'Heart']",15,ĐÃ CƠN KHÁT CHÁY BỎNG VỚI TÓC TIÊN TẠI ĐẠI SỰ KIỆN PEPSI!,6.0
12/03,"['CỰC NÓNG: CHỊ ĐẠI CHÍNH THỨC TRỞ LẠI - ĐÃ QUÁ PEPSI ƠI', 'Cô “Hoạ mi tóc nâu"", ngôi sao tên tuổi trong lịch sử Pepsi - Chị Đại Mỹ Tâm chính thức trở lại tại Đại nhạc hội 23.03 này!💙Hãy sẵn sàng “đã cơn khát” cùng MỸ TÂM tại PEPSI - THIRSTY FOR MORE!', '🙌Những cái tên tiếp theo hứa hẹn không làm bạn...']",1596,"['Like', 'Heart']",147,CỰC NÓNG: CHỊ ĐẠI CHÍNH THỨC TRỞ LẠI - ĐÃ QUÁ PEPSI ƠI,0.0
13/03,"['[MINIGAME] SHOUT OUT “CƠN KHÁT” - SĂN VÉ CỰC ĐÃA', '💙Cơn “khát” nào đang thôi thúc trong bạn? Flex ảnh ngầu, khoe chất “nghệ”, hay đam mê cuồng nhiệt cùng thần tượng?Dù khát khao điều gì, hãy ĐÃ CƠN KHÁT, THOẢ ĐAM MÊ cùng Pepsi trong ĐẠI NHẠC HỘI 23.03 này!', '🎫Săn ngay tấm vé khu vực Fanzone siêu...']",456,"['Like', 'Heart']",358,[MINIGAME] SHOUT OUT “CƠN KHÁT” - SĂN VÉ CỰC ĐÃA,1.0
